MPNN 0.001 64 1 0.0 True 94.77 $\pm$ 0.35 
MPNN 0.001 64 1 0.0 False 94.23 $\pm$ 0.38 
MPNN 0.001 128 1 0.0 True 94.47 $\pm$ 0.52 
MPNN 0.001 128 1 0.0 False 94.01 $\pm$ 0.21 
MPNN 0.001 256 1 0.0 True 94.75 $\pm$ 0.51 
MPNN 0.001 256 1 0.0 False 94.66 $\pm$ 0.31 
MPNN 0.001 64 1 0.1 True 94.95 $\pm$ 0.15 
MPNN 0.001 64 1 0.1 False 95.03 $\pm$ 0.30 
MPNN 0.001 512 1 0.0 True 95.10 $\pm$ 0.13 
MPNN 0.001 512 1 0.0 False 93.99 $\pm$ 0.64 
MPNN 0.001 128 1 0.1 True 94.66 $\pm$ 0.10 
MPNN 0.001 128 1 0.1 False 94.90 $\pm$ 0.11 
MPNN 0.001 64 1 0.2 False 95.14 $\pm$ 0.26 
MPNN 0.001 64 1 0.2 True 94.99 $\pm$ 0.30 
MPNN 0.001 256 1 0.1 True 94.90 $\pm$ 0.43 
MPNN 0.001 256 1 0.1 False 94.25 $\pm$ 0.40 
MPNN 0.001 128 1 0.2 True 94.81 $\pm$ 0.23 
MPNN 0.001 128 1 0.2 False 94.86 $\pm$ 0.26 
MPNN 0.001 64 1 0.3 False 95.29 $\pm$ 0.13 
MPNN 0.001 64 1 0.3 True 94.97 $\pm$ 0.23 
MPNN 0.001 128 1 0.3 True 94.90 $\pm$ 0.24 
MPNN 0.001 128 1 0.3 False 94.71 $\pm$ 0.33 
MPNN 0.001 256 1 0.2 True 94.81 $\pm$ 0.39 
MPNN 0.001 256 1 0.2 False 94.36 $\pm$ 0.36 
MPNN 0.001 64 1 0.4 False 95.05 $\pm$ 0.32 
MPNN 0.001 64 1 0.4 True 95.14 $\pm$ 0.14 
MPNN 0.001 512 1 0.1 True 95.25 $\pm$ 0.20 
MPNN 0.001 512 1 0.1 False 93.99 $\pm$ 0.35 
MPNN 0.001 128 1 0.4 True 94.88 $\pm$ 0.31 
MPNN 0.001 128 1 0.4 False 95.08 $\pm$ 0.46 
MPNN 0.001 64 1 0.5 False 95.01 $\pm$ 0.25 
MPNN 0.001 64 1 0.5 True 95.56 $\pm$ 0.23 
MPNN 0.001 256 1 0.3 True 95.03 $\pm$ 0.41 
MPNN 0.001 256 1 0.3 False 94.66 $\pm$ 0.10 
MPNN 0.001 128 1 0.5 True 95.14 $\pm$ 0.31 
